Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),MEETING:Zone Air Temperature [C](Hourly),MEETING:Zone Air Relative Humidity [%](Hourly),RDC:Zone Air Temperature [C](Hourly),RDC:Zone Air Relative Humidity [%](Hourly),RPLUS1:Zone Air Temperature [C](Hourly),RPLUS1:Zone Air Relative Humidity [%](Hourly),SS:Zone Air Temperature [C](Hourly),SS:Zone Air Relative Humidity [%](Hourly),HEATING SCHEDULE:Schedule Value [](Hourly),HOT WATER TEMPERATURE:Schedule Value [](Hourly),RDC THERMOSTAT SCHEDULE:Schedule Value [](Hourly),RPLUS1 THERMOSTAT SCHEDULE:Schedule Value [](Hourly),ALWAYS ON:Schedule Value [](Hourly),ALWAYS ON DISCRETE:Schedule Value [](Hourly),ALWAYS OFF DISCRETE:Schedule Value [](Hourly),ALWAYS ON CONTINUOUS:Schedule Value [](Hourly),ALWAYS ON DISCRETE HVAC_LIBRARY:Schedule Value [](Hourly),COOLING SCHEDULE:Schedule Value [](Hourly),RDC_ZONE HVAC BASEBOARD RAD CONV WATER:Baseboard Total Heating Rate [W](Hourly),RPLUS1_ZONE HVAC BASEBOARD RAD CONV WATER 1:Baseboard Total Heating Rate [W](Hourly),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep) 
 10/21  20:00:00,10.0,,8.435012753295794,16.0202513822065,44.5553421635673,19.179528483411367,36.501386191329146,18.853874665771436,37.25092135940893,20.712093848349376,33.19423304543429,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/21  21:00:00,9.0,,7.403095325230257,15.736138419084696,45.37474890635027,18.995736056955067,36.92420469179413,18.662040623665664,37.70248448109959,20.663566881952782,33.2953480431885,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/21  22:00:00,8.1,,6.803753072028457,15.47347532470276,46.14895833074921,18.80442197201411,37.371252219496085,18.45915295975462,38.18783186497407,20.60958131765893,33.40908195928661,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/21  23:00:00,7.8,,6.353874075015912,15.259781370174526,46.78036034816357,18.644034985503733,37.74305631567658,18.27114292125211,38.63573362557668,20.55341889451974,33.52050316835735,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/21  24:00:00,7.7,,6.176968597972937,15.408893486869525,46.31916413428619,18.818472175830248,37.321138154321595,18.234297635939118,38.712456513974615,20.516271840617758,33.5863322796117,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  01:00:00,7.6,,6.00046199773308,15.427498778546818,46.24910275719273,18.858606820520876,37.21574453055222,18.158509979960083,38.88476991767164,20.47276068905102,33.66587788334473,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  02:00:00,9.8,,8.06712170029703,15.46151168023103,46.11924413346821,18.881286341228112,37.13967810594296,18.140869975933366,38.90342542192195,20.425311751433384,33.74340515603431,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  03:00:00,10.1,,8.348374636153812,15.474011677396634,46.053280814119105,18.8702802196971,37.141851258505085,18.112151138514392,38.949193254902156,20.378783957214324,33.81920949659025,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  04:00:00,10.3,,8.535691579793001,15.474930324759882,46.021580364754705,18.83327160985956,37.20442435121336,18.062147410697957,39.047235649050585,20.337395027610604,33.884444599885505,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  05:00:00,10.6,,8.632975442120891,15.485984681826714,45.97945521406746,18.811350935554117,37.24774591613543,18.018345191193465,39.146866303731066,20.301582781067655,33.952498063556135,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  06:00:00,11.0,,8.81764393819431,15.48579040187636,45.97100579174685,18.77927708304323,37.31519458898978,17.974462334631898,39.24739188730243,20.263950351330323,34.02488601516047,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  07:00:00,10.8,,8.724979835523923,15.464031568993823,45.98340259601353,18.723791866381507,37.402759828501544,17.91789743055451,39.34301835450536,20.22478054923803,34.06898675668402,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  08:00:00,11.0,,9.377673247964225,15.468656677696936,45.97118300111933,18.91846035138557,36.95150545054326,18.07013285989302,38.96920617251227,20.18581518136364,34.15224624437486,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  09:00:00,13.0,,10.768407581319373,15.487809751227836,45.91805001317819,19.141615215608212,36.443343264737365,18.40195718536029,38.169091452248125,20.146933743606027,34.236981309336485,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  10:00:00,13.5,,11.232200808932014,15.635132007598335,45.462518699856446,19.474049358609264,35.67796018306379,18.82285570058019,37.15653450882718,20.125865836129144,34.26355774090109,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  11:00:00,15.0,,12.624433209962485,15.953909534508973,44.518008659132875,19.828436298889038,34.88025764996055,19.22073749225538,36.22343363123372,20.132445180077234,34.22906129877201,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  12:00:00,16.0,,12.990278577821451,16.288727692921025,43.53442828497438,20.00417701412537,34.46876991923503,19.51001658887342,35.54238573087721,20.142794569336075,34.17421660151051,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  13:00:00,16.0,,12.989220958463267,16.574406769264193,42.71109429257093,20.039288927993066,34.36322835531528,19.654174338308245,35.19383622335077,20.161771496004373,34.103699472314034,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  14:00:00,17.0,,13.426077373848925,16.797872320014182,42.05940407958495,19.99926511887617,34.40814692738185,19.66862159634201,35.12106648966174,20.18797622874352,34.00855966595716,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  15:00:00,17.0,,13.89886188523987,16.817359957622912,42.00738860318947,19.861794391685287,34.70256087218615,19.501673566376013,35.487333752422714,20.212238301618765,33.95756681644986,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  16:00:00,17.3,,14.17223786367233,16.69166421544904,42.345911588738176,19.69461588637163,35.06587731387257,19.269779220267413,36.00472666605871,20.226983466406278,33.92802525218166,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  17:00:00,17.0,,13.89886188523987,16.531401171247243,42.777933355879306,19.548936211372272,35.383209318572355,19.09110597036639,36.406483870724756,20.22881669179619,33.92277116749803,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  18:00:00,17.0,,13.426077373848925,16.3706589539648,43.21802715167459,19.411292961823207,35.6874102927559,18.950116312541287,36.72827108545829,20.218043946378117,33.94537656770418,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  19:00:00,14.8,,13.0723311482666,16.229524977571554,43.63081722274559,19.28859935575509,35.97934501233222,18.829993524959068,37.02378401806967,20.19766920335995,34.00546782838914,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  20:00:00,14.4,,12.899034857224274,16.259711425931844,43.536052051605374,19.3658851652401,35.79769681251282,18.820551944473426,37.036414635608736,20.181594040479613,34.03081866360969,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  21:00:00,14.0,,12.819803235438446,16.11867352513648,43.91865934126245,19.220815861047562,36.11361145731555,18.70856027918345,37.287433236981734,20.149948795940226,34.0890138808277,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  22:00:00,14.0,,12.517421376823666,15.967467685539058,44.38451429283492,19.039025119204787,36.557973562160406,18.57702409160922,37.62929414596498,20.112382035990603,34.198860191111095,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  23:00:00,14.0,,12.00565425917549,16.021383311295374,44.24057298767147,19.1087122135456,36.4065459681103,18.567001377629094,37.66034323619622,20.08726570424166,34.2588196191207,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/22  24:00:00,13.9,,11.392498091964573,16.001182903133046,44.30644104427738,19.12098089672584,36.38586848250542,18.524125267697617,37.76907645996103,20.05981855371558,34.323844092163405,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/23  01:00:00,13.9,,10.970352507521605,15.917728551207178,44.55219809937248,19.038383693153317,36.581052578028974,18.441389154067988,37.97291960095788,20.025817887139585,34.40296331908542,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
 10/23  02:00:00,13.9,,10.863741888962346,15.833065275834079,44.792258036353424,18.940686437210676,36.80332620676076,18.351957216930817,38.18492663802721,19.988473502251622,34.4812055564372,5.0,67.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0 
