Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),MEETING:Zone Air Temperature [C](Hourly),MEETING:Zone Air Relative Humidity [%](Hourly),RDC:Zone Air Temperature [C](Hourly),RDC:Zone Air Relative Humidity [%](Hourly),RPLUS1:Zone Air Temperature [C](Hourly),RPLUS1:Zone Air Relative Humidity [%](Hourly),SS:Zone Air Temperature [C](Hourly),SS:Zone Air Relative Humidity [%](Hourly),HEATING SCHEDULE:Schedule Value [](Hourly),RDC THERMOSTAT SCHEDULE:Schedule Value [](Hourly),RPLUS1 THERMOSTAT SCHEDULE:Schedule Value [](Hourly),COOLING SCHEDULE:Schedule Value [](Hourly),ALWAYS ON DISCRETE:Schedule Value [](Hourly),ALWAYS OFF DISCRETE:Schedule Value [](Hourly),ALWAYS ON CONTINUOUS:Schedule Value [](Hourly),ALWAYS ON:Schedule Value [](Hourly),ADU RDC-AIR TERMINAL SINGLE DUCT CONSTANT VOLUME NO REHEAT 1:Zone Air Terminal Sensible Heating Rate [W](Hourly),ADU RPLUS1-AIR TERMINAL SINGLE DUCT CONSTANT VOLUME NO REHEAT 2:Zone Air Terminal Sensible Heating Rate [W](Hourly),FAN CONSTANT VOLUME 1:Fan Electricity Rate [W](Hourly),COIL HEATING DX SINGLE SPEED 1:Heating Coil Heating Rate [W](Hourly),COIL HEATING DX SINGLE SPEED 1:Heating Coil Electricity Rate [W](Hourly),COIL HEATING ELECTRIC 1:Heating Coil Heating Rate [W](Hourly),COIL HEATING ELECTRIC 1:Heating Coil Electricity Rate [W](Hourly),Electricity:Facility [J](TimeStep) 
 05/20  05:00:00,1.4,,0.9743817051277172,15.979785865729339,45.254048861026206,20.161391563887033,25.7860114140122,19.946438672723044,26.13150650822516,20.96236498400136,33.11371166971165,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1276.703942156943,1411.8872546373423,1861.9102397492563,357.84641030585016,129.45822132671427,0.0,0.0,7192468.839754076 
 05/20  06:00:00,2.0,,1.5632571584694968,15.88276595097356,45.580068313310534,20.217014144664333,25.722527795128624,20.01548323387232,26.045359682756292,20.913258542978188,33.24627897848256,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,993.9756326523327,1147.7293872524046,1861.9102397492563,468.8345467392016,168.56493797587788,0.0,0.0,7340265.787299648 
 05/20  07:00:00,3.6,,3.4004885249796852,16.00315311550004,45.25634590682336,20.421175607729335,25.414509249951944,20.22734434569881,25.72072163972748,20.88341160413924,33.326319517847594,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,509.89839273238016,717.1341928905563,1861.9102397492563,0.0,0.0,0.0,0.0,6702876.863097323 
 05/20  08:00:00,8.0,,6.056495629983224,16.375030571352887,44.21527491247444,20.888203648654784,24.70467963734768,20.535506602575378,25.2470052812415,20.87543640943482,33.35722968826943,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,122.0222101656252,574.612968238198,1861.9102397492563,0.0,0.0,0.0,0.0,7196426.930019547 
 05/20  09:00:00,10.0,,6.994457435574021,16.77573926137871,43.10115659123357,21.382108148590078,23.96603307679547,20.943664515423094,24.619811231586034,20.888500346672455,33.329754964192674,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,24.604581788519745,553.4649125294783,1861.9102397492563,0.0,0.0,0.0,0.0,7297657.074453949 
 05/20  10:00:00,9.7,,5.701186601241218,17.143512130268327,42.112631980254434,21.782515595100687,23.388700630569566,21.402910110673368,23.93840415887881,20.924474591220502,33.260135546473414,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,58.08391364394511,546.1436061333147,1861.9102397492563,0.0,0.0,0.0,0.0,7261795.723654815 
 05/20  11:00:00,14.0,,8.43700055335151,17.785063636445788,40.440063242785484,22.29068878288558,22.67445819131496,22.01975397598747,23.05218529926106,20.98285805121374,33.138955396872205,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,122.51015722925388,446.12193148854647,1861.910239749256,0.0,0.0,0.0,0.0,7316324.640605173 
 05/20  12:00:00,14.0,,8.43700055335151,18.29198034575046,39.16916239007534,22.62838492842831,22.212844097708853,22.51757481103769,22.362961911290718,21.057894836601456,32.986484423703416,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,384.22007214084044,490.35647449535657,1861.9102397492563,271.96551956636796,65.85065501861062,0.0,0.0,7515915.550124216 
 05/20  13:00:00,15.3,,9.001305052869126,18.83875452880855,37.84584245479073,22.84607439294696,21.91885492472266,22.813430763459746,21.962292689076847,21.168076322479983,32.760048696855044,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,556.7155337855537,528.968450106174,1861.9102397492563,0.0,0.0,0.0,0.0,7032027.797693275 
 05/20  14:00:00,15.0,,9.367400901402986,19.324782111340454,36.71746468055463,23.030312400717442,21.676915932946994,23.056699183125506,21.64236369651342,21.266349447626293,32.565041160760586,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,670.8941172797503,544.1803938776147,1861.9102397492563,0.0,0.0,0.0,0.0,6989667.457164632 
 05/20  15:00:00,15.0,,8.885637774691409,19.728165463426983,35.80786335792505,23.17170216105857,21.49232205321227,23.242358840690326,21.400754458537854,21.341961227895567,32.41438408479097,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,785.9086425738963,581.0648190360391,1861.9102397492563,0.0,0.0,0.0,0.0,6918439.240946219 
 05/20  16:00:00,15.6,,9.363810920783116,20.09903550808276,35.000091314387575,23.293891922629,21.33792761970874,23.385771460048346,21.21989995641168,21.4056940678803,32.293575390396995,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,930.9357338145426,676.6762717152315,1861.9102397492563,0.0,0.0,0.0,0.0,6702876.863097323 
 05/20  17:00:00,15.0,,8.888641932310026,20.389885571283312,34.406989983458786,23.318455833648905,21.325486584517,23.41830506995603,21.197344868936913,21.455527974938093,32.224186526218276,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1083.202050170724,797.3722932629915,1861.9102397492563,0.0,0.0,0.0,0.0,6702876.863097323 
 05/20  18:00:00,15.0,,9.726234927123643,20.569241711716785,34.028237356032406,23.25764039951682,21.40396264266459,23.33978929812508,21.298035888432697,21.49674441547782,32.1429468671127,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1172.7589301709424,900.1330185899819,1861.9102397492563,0.0,0.0,0.0,0.0,6702876.863097323 
 05/20  19:00:00,13.8,,8.731821825345367,20.448874841732422,34.279466943782374,23.111185966666792,21.592752951300792,23.187856500811606,21.492887550513696,21.525685388148876,32.08376435322608,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1299.4936963562834,1017.7797735136442,1861.9102397492563,0.0,0.0,0.0,0.0,6702876.863097323 
 05/20  20:00:00,13.0,,8.396807351661291,20.051377594704604,35.16736130654763,22.90319766346841,21.88766406281927,22.959534698963665,21.8131238968555,21.538549335596954,32.08970506071427,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1396.059354246495,1130.3536378848498,1861.9102397492563,264.9202837447762,65.18560454758367,0.0,0.0,6937545.039468625 
 05/20  21:00:00,8.6,,5.038594700722267,19.227879317215923,37.01539410488421,22.482348385547475,22.453533741846208,22.522060114714616,22.3994038926634,21.53234454239849,32.10059569557839,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1585.530208265504,1318.2085620462617,1861.910239749256,455.9081967962116,120.44094319419312,0.0,0.0,7136464.258596418 
 05/20  22:00:00,8.1,,5.130053784545261,18.730861482175033,38.187555779953364,22.112964920507018,22.969154664539193,22.15649658247922,22.908271131598866,21.516840694276546,32.139213088987546,5.0,4.0,4.0,50.0,1.0,0.0,1.0,1.0,1512.1887410981044,1249.204433391378,1861.9102397492563,489.2090879819495,130.09500990360766,0.0,0.0,7401434.753526168 
